Material,Absorbing element,Oxidation state,Coordination number,Average bond length (angstrom),Spectral shape group,Data source,Featured example
Mn2O3,Mn,3.0,6,2.1075,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn2O3,Mn,3.0,6,2.0745,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn2O3,Mn,3.0,4,1.9122,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn2O3,Mn,3.0,6,2.1072,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn2O3,Mn,3.0,6,2.1229,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn2O5,Mn,5.0,5,1.8418,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn2O7,Mn,,,,7,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn3O4,Mn,2.6666666666666665,5,2.0416,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn3O4,Mn,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn3O4,Mn,2.6666666666666665,5,2.1067,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn3O4,Mn,2.6666666666666665,5,2.0088,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn5O7,Mn,2.8,6,2.1103,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn5O8,Mn,3.2,6,2.0133,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn5O8,Mn,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn7O12,Mn,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mn9O13,Mn,2.888888888888889,6,2.1091,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO,Mn,2.0,6,2.2236,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO,Mn,2.0,4,2.0661,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.8934,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.8919,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.8862,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.8848,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.8868,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.9446,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.9421,7,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,6,1.9945,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO2,Mn,4.0,2,1.6804,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MnO3,Mn,4.0,6,2.0273,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo17O47,Mo,,,,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo2O5,Mo,5.0,5,1.9695,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo3O7,Mo,4.666666666666667,5,2.0026,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo3O8,Mo,,,,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo4O11,Mo,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo4O11,Mo,,,,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo4O5,Mo,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo5O14,Mo,,,,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo8O23,Mo,,,,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo8O23,Mo,,,,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo9O25,Mo,,,,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo9O26,Mo,5.777777777777778,6,2.0011,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Mo9O26,Mo,,,,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO2,Mo,4.0,6,2.0633,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO2,Mo,4.0,6,2.0846,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO2,Mo,4.0,6,2.0981,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO2,Mo,4.0,6,2.0293,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO2,Mo,,,,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO2,Mo,,,,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO3,Mo,,,,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
MoO3,Mo,6.0,6,1.9497,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Na2O,Na,1.0,4,2.3751,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Na2O,Na,1.0,3,2.2845,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Na2O,Na,1.0,4,2.3774,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Na2O,Na,1.0,4,2.4457,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Na2O2,Na,1.0,6,2.3575,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NaO2,Na,,6,2.4342,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NaO2,Na,,6,2.376,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NaO3,Na,,7,2.5033,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb12O29,Nb,4.833333333333333,6,2.055,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb12O29,Nb,4.833333333333333,6,2.0566,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,6,2.0302,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,6,1.9589,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,7,2.0339,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,6,2.0435,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,6,2.0304,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,6,2.0429,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,6,2.0301,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb2O5,Nb,5.0,5,1.9479,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nb4O5,Nb,2.5,5,2.1502,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO,Nb,2.0,4,2.1249,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO,Nb,2.0,6,2.2555,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO,Nb,2.0,2,1.9434,7,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO2,Nb,4.0,6,2.0803,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO2,Nb,4.0,6,2.0692,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO2,Nb,4.0,6,2.1009,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO2,Nb,4.0,6,2.0791,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO2,Nb,4.0,4,2.0192,7,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO2,Nb,4.0,6,2.0737,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NbO2,Nb,4.0,7,2.1289,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nd2O3,Nd,3.0,6,2.3952,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nd2O3,Nd,3.0,7,2.4796,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nd2O3,Nd,3.0,6,2.2506,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nd2O3,Nd,3.0,7,2.4593,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Nd2O5,Nd,3.0,8,2.4637,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NdO2,Nd,3.0,8,2.4598,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NdO3,Nd,,10,2.5782,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NdO3,Nd,,9,2.4904,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NdO3,Nd,,,,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni15O16,Ni,2.1333333333333333,6,2.0916,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni15O16,Ni,2.1333333333333333,6,2.0926,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni15O16,Ni,2.1333333333333333,6,2.0948,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni2O3,Ni,3.0,6,2.0148,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni2O5,Ni,4.0,6,1.9702,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni3O4,Ni,2.6666666666666665,6,2.0026,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni3O4,Ni,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni4O,Ni,,4,2.4646,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni4O3,Ni,1.5,4,2.082,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni5O4,Ni,1.6,6,2.0467,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni5O6,Ni,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni5O7,Ni,2.8,6,2.0425,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni6O7,Ni,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni9O10,Ni,2.2222222222222223,6,2.0743,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ni9O13,Ni,2.888888888888889,6,2.0412,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO,Ni,2.0,6,2.0932,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,4.0,6,1.8777,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,,,,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,4.0,4,1.8144,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,4.0,6,1.9228,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,3.75,6,1.8798,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,4.0,6,1.9264,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,3.0,5,1.8608,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NiO2,Ni,3.75,5,1.8875,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Np2O5,Np,5.0,6,2.22,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
NpO2,Np,,8,2.3482,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
OsO2,Os,4.0,6,1.9923,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
OsO4,Os,,4,1.7121,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
OsO4,Os,,4,1.7231,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PaO,Pa,,6,2.469,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PaO2,Pa,,8,2.3531,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb2O,Pb,,2,2.3696,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb2O3,Pb,3.0,6,2.4188,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb2O3,Pb,3.0,6,2.4061,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb2O3,Pb,3.0,6,2.4291,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb3O4,Pb,2.6666666666666665,5,2.3101,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb3O4,Pb,2.6666666666666665,5,2.3091,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb3O4,Pb,2.6666666666666665,6,2.4719,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pb3O5,Pb,3.3333333333333335,7,2.4309,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO,Pb,2.0,4,2.3263,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO,Pb,2.0,4,2.3614,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO,Pb,2.0,3,2.2558,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO,Pb,2.0,4,2.3257,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO,Pb,2.0,4,2.4703,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO2,Pb,4.0,8,2.34,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO2,Pb,4.0,6,2.1861,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PbO2,Pb,4.0,6,2.1777,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pd2O,Pd,,2,1.9669,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pd7O8,Pd,2.2857142857142856,5,2.1296,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PdO,Pd,2.0,4,2.0333,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PdO,Pd,2.0,6,2.2734,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PdO,Pd,2.0,8,2.4383,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr2O3,Pr,3.0,7,2.5035,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr2O3,Pr,3.0,7,2.4841,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr2O3,Pr,3.0,6,2.4194,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr5O9,Pr,3.6,7,2.4657,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr5O9,Pr,3.0,7,2.4921,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr6O11,Pr,3.6666666666666665,7,2.4708,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr6O11,Pr,3.6666666666666665,7,2.4662,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr7O12,Pr,3.4285714285714284,7,2.4444,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pr9O16,Pr,3.5555555555555554,7,2.4638,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PrO,Pr,2.0,6,2.5394,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PrO2,Pr,4.0,8,2.479,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pt3O4,Pt,2.6666666666666665,4,1.9808,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pt3O4,Pt,2.6666666666666665,8,2.374,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PtO,Pt,2.0,6,2.3129,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PtO2,Pt,4.0,6,2.015,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PtO2,Pt,4.0,4,1.9415,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PtO2,Pt,4.0,6,2.0365,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PtO3,Pt,,6,1.9773,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pu2O3,Pu,,7,2.4358,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pu2O3,Pu,,6,2.3593,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pu2O3,Pu,,6,2.3338,5,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Pu3O2,Pu,,4,2.4944,5,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
PuO2,Pu,4.0,8,2.3247,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rb19O3,Rb,,1,2.8401,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rb2O,Rb,1.0,4,2.9222,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rb2O,Rb,1.0,4,2.8657,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rb2O3,Rb,,6,2.9468,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rb6O,Rb,,3,4.2383,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rb9O2,Rb,,1,2.7584,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
RbO2,Rb,,10,2.7823,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
RbO3,Rb,,9,3.0813,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Re2O7,Re,7.0,4,1.7722,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Re3O8,Re,5.333333333333333,6,1.9584,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
ReO2,Re,4.0,6,2.0182,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
ReO3,Re,6.0,6,1.8826,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
ReO3,Re,6.0,6,1.8985,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
ReO3,Re,6.0,6,1.8828,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
ReO3,Re,6.0,6,1.8827,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rh2O3,Rh,3.0,6,2.0569,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rh2O3,Rh,3.0,6,2.0515,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Rh2O3,Rh,3.0,6,2.0544,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
RuO2,Ru,4.0,6,1.9689,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
RuO2,Ru,4.0,6,1.9823,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
RuO2,Ru,4.0,8,2.1032,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
RuO4,Ru,,4,1.6885,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
RuO4,Ru,,4,1.6886,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sc2O3,Sc,3.0,6,2.1253,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sc2O3,Sc,3.0,7,2.2322,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sc2O3,Sc,3.0,7,2.1875,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sc2O3,Sc,3.0,6,2.1315,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
ScO,Sc,2.0,6,2.2284,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sm2O,Sm,,3,2.4964,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sm2O3,Sm,3.0,6,2.3548,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sm2O3,Sm,3.0,7,2.4174,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sm2O3,Sm,3.0,7,2.4392,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sm32O21,Sm,,3,2.5229,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SmO,Sm,2.0,6,2.4832,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sn2O3,Sn,3.0,4,2.1675,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sn5O6,Sn,2.4,4,2.0958,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Sn5O7,Sn,2.8,5,2.3064,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO,Sn,2.0,4,2.2269,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO,Sn,2.0,3,2.1567,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO,Sn,2.0,4,2.2536,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO,Sn,2.0,4,2.3164,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,6,2.0667,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,6,2.0718,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,8,2.2293,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,6,2.0686,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,7,2.1726,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,6,2.0938,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,6,2.1238,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,6,2.1407,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SnO2,Sn,4.0,6,2.1275,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SrO,Sr,2.0,6,2.5838,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SrO,Sr,2.0,8,2.7208,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
SrO2,Sr,2.0,10,2.5928,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta11O2,Ta,,4,2.7764,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta2O,Ta,1.0,2,1.8609,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta2O5,Ta,5.0,6,2.0034,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta2O5,Ta,5.0,6,2.0357,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta2O5,Ta,5.0,7,2.021,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta2O5,Ta,5.0,6,2.0361,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta2O5,Ta,5.0,6,2.0304,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta2O5,Ta,5.0,5,1.9739,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ta4O,Ta,,4,2.5626,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TaO,Ta,2.0,6,2.2536,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TaO2,Ta,4.0,6,2.0748,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TaO2,Ta,4.0,6,2.0686,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TaO2,Ta,4.0,5,2.0257,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TaO3,Ta,3.0,12,2.2892,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TaO3,Ta,,6,1.9785,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb11O20,Tb,3.6363636363636362,7,2.3586,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb11O20,Tb,3.6363636363636362,7,2.3558,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb2O3,Tb,3.0,6,2.2966,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb2O3,Tb,3.0,7,2.3589,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb2O3,Tb,3.0,7,2.3823,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb2O3,Tb,3.0,6,2.3312,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb5O9,Tb,3.6,7,2.3565,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb6O11,Tb,3.5833333333333335,7,2.3625,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tb7O12,Tb,3.4285714285714284,7,2.3452,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TbO2,Tb,4.0,8,2.3694,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Tc2O7,Tc,7.0,4,1.7186,7,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
TcO2,Tc,4.0,6,1.9873,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Th3O,Th,,9,3.3043,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
ThO2,Th,4.0,8,2.4253,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ti10O11,Ti,2.2,6,2.1401,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ti10O13,Ti,2.6,6,2.0738,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ti11O14,Ti,2.5454545454545454,6,2.0911,0,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ti11O14,Ti,2.5454545454545454,6,2.0944,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
